Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_MORT,,PER_100000_POP,,462
2022,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_MORT,,PER_100000_POP,,362
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_MORT,,PER_100000_POP,,212
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_BA,PER_100000_POP,ZW_BA,248
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_HA,PER_100000_POP,ZW_HA,303
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MA,PER_100000_POP,ZW_MA,248
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MC,PER_100000_POP,ZW_MC,292
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_ME,PER_100000_POP,ZW_ME,401
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MI,PER_100000_POP,ZW_MI,424
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MN,PER_100000_POP,ZW_MN,365
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MS,PER_100000_POP,ZW_MS,375
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MV,PER_100000_POP,ZW_MV,377
2022,A,0,Zimstat_2022_PHC,SH_STA_MORT,ZW_MW,PER_100000_POP,ZW_MW,377
