Year,Source details,Reference area,Sex,Age,GeoCode,Value
2023,"Zimstat, Labour Fource Q3",Harare,Female,,ZW_HA,0.0
2023,"Zimstat, Labour Fource Q3",,,15 to 24 years old,,45.4
2024,Zimstat,,,15 to 24 years old,,27.9
2023,"Zimstat, Labour Fource Q3",,Male,15 to 24 years old,,39.8
2023,"Zimstat, Labour Fource Q3",,Female,15 to 24 years old,,51.1
2023,"Zimstat, Labour Fource Q3",Bulawayo,,15 to 24 years old,ZW_BA,39.8
2023,"Zimstat, Labour Fource Q3",Manicaland,,15 to 24 years old,ZW_MA,45.5
2023,"Zimstat, Labour Fource Q3",Mashonaland Central,,15 to 24 years old,ZW_MC,47.4
2023,"Zimstat, Labour Fource Q3",Masholanad East,,15 to 24 years old,ZW_ME,43.8
2023,"Zimstat, Labour Fource Q3",Mashonaland West,,15 to 24 years old,ZW_MW,49.5
2023,"Zimstat, Labour Fource Q3",Matabeland North,,15 to 24 years old,ZW_MN,57.9
2023,"Zimstat, Labour Fource Q3",Matabeland South,,15 to 24 years old,ZW_MS,52.1
2023,"Zimstat, Labour Fource Q3",Midlands,,15 to 24 years old,ZW_MI,46.8
2023,"Zimstat, Labour Fource Q3",Masvingo,,15 to 24 years old,ZW_MV,44.8
2023,"Zimstat, Labour Fource Q3",Harare,,15 to 24 years old,ZW_HA,37.7
2023,"Zimstat, Labour Fource Q3",Bulawayo,Male,15 to 24 years old,ZW_BA,36.6
2023,"Zimstat, Labour Fource Q3",Manicaland,Male,15 to 24 years old,ZW_MA,41.1
2023,"Zimstat, Labour Fource Q3",Mashonaland Central,Male,15 to 24 years old,ZW_MC,40.3
2023,"Zimstat, Labour Fource Q3",Masholanad East,Male,15 to 24 years old,ZW_ME,36.4
2023,"Zimstat, Labour Fource Q3",Mashonaland West,Male,15 to 24 years old,ZW_MW,42.5
2023,"Zimstat, Labour Fource Q3",Matabeland North,Male,15 to 24 years old,ZW_MN,53.1
2023,"Zimstat, Labour Fource Q3",Matabeland South,Male,15 to 24 years old,ZW_MS,43.3
2023,"Zimstat, Labour Fource Q3",Midlands,Male,15 to 24 years old,ZW_MI,42.3
2023,"Zimstat, Labour Fource Q3",Masvingo,Male,15 to 24 years old,ZW_MV,38.5
2023,"Zimstat, Labour Fource Q3",Harare,Male,15 to 24 years old,ZW_HA,32.1
2023,"Zimstat, Labour Fource Q3",Bulawayo,Female,15 to 24 years old,ZW_BA,42.4
2023,"Zimstat, Labour Fource Q3",Manicaland,Female,15 to 24 years old,ZW_MA,49.9
2023,"Zimstat, Labour Fource Q3",Mashonaland Central,Female,15 to 24 years old,ZW_MC,55.8
2023,"Zimstat, Labour Fource Q3",Masholanad East,Female,15 to 24 years old,ZW_ME,51.5
2023,"Zimstat, Labour Fource Q3",Mashonaland West,Female,15 to 24 years old,ZW_MW,57.3
2023,"Zimstat, Labour Fource Q3",Matabeland North,Female,15 to 24 years old,ZW_MN,64.0
2023,"Zimstat, Labour Fource Q3",Matabeland South,Female,15 to 24 years old,ZW_MS,59.5
2023,"Zimstat, Labour Fource Q3",Midlands,Female,15 to 24 years old,ZW_MI,51.4
2023,"Zimstat, Labour Fource Q3",Masvingo,Female,15 to 24 years old,ZW_MV,51.5
2023,"Zimstat, Labour Fource Q3",Harare,Female,15 to 24 years old,ZW_HA,42.2
